2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:15,460 - INFO - Initial process node created - PID: 0, Name: System Idle Process, Memory: 0.0%, CPU: 286.7%
2025-05-30 16:40:15,627 - INFO - Initial process node created - PID: 4, Name: System, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:15,802 - INFO - Initial process node created - PID: 4100, Name: IPROSetMonitor.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:15,966 - INFO - Initial process node created - PID: 7172, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:16,101 - INFO - Initial process node created - PID: 8196, Name: audiodg.exe, Memory: 0.1%, CPU: 14.3%
2025-05-30 16:40:16,267 - INFO - Initial process node created - PID: 8, Name: WUDFHost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:16,425 - INFO - Initial process node created - PID: 3088, Name: esif_uf.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:16,581 - INFO - Initial process node created - PID: 11280, Name: SupportAssistAgent.exe, Memory: 1.4%, CPU: 0.0%
2025-05-30 16:40:16,745 - INFO - Initial process node created - PID: 2068, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:16,898 - INFO - Initial process node created - PID: 2084, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:17,056 - INFO - Initial process node created - PID: 2092, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:17,219 - INFO - Initial process node created - PID: 3116, Name: EvtEng.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:17,373 - INFO - Initial process node created - PID: 4140, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:17,523 - INFO - Initial process node created - PID: 4652, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:17,678 - INFO - Initial process node created - PID: 560, Name: fontdrvhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:17,834 - INFO - Initial process node created - PID: 1584, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:17,999 - INFO - Initial process node created - PID: 12332, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:18,113 - INFO - Initial process node created - PID: 4152, Name: firefox.exe, Memory: 4.6%, CPU: 0.0%
2025-05-30 16:40:18,258 - INFO - Initial process node created - PID: 13880, Name: DDVRulesProcessor.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:18,373 - INFO - Initial process node created - PID: 1596, Name: firefox.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:18,516 - INFO - Initial process node created - PID: 4156, Name: MpDefenderCoreService.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:18,661 - INFO - Initial process node created - PID: 576, Name: smss.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:18,805 - INFO - Initial process node created - PID: 2112, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:18,920 - INFO - Initial process node created - PID: 13376, Name: firefox.exe, Memory: 1.3%, CPU: 0.0%
2025-05-30 16:40:19,073 - INFO - Initial process node created - PID: 1092, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:19,226 - INFO - Initial process node created - PID: 8260, Name: PresentationFontCache.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:19,362 - INFO - Initial process node created - PID: 9284, Name: firefox.exe, Memory: 1.2%, CPU: 0.0%
2025-05-30 16:40:19,490 - INFO - Initial process node created - PID: 12868, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:19,620 - INFO - Initial process node created - PID: 13892, Name: firefox.exe, Memory: 0.5%, CPU: 0.0%
2025-05-30 16:40:19,778 - INFO - Initial process node created - PID: 14404, Name: DDVCollectorSvcApi.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:19,940 - INFO - Initial process node created - PID: 4684, Name: WMIRegistrationService.exe, Memory: 0.1%, CPU: 0.0%
